Vmag,Plx,e_Plx,B-V,SpType
5.59,5.7,0.53,-0.1,B8III
7.37,11.46,0.84,0.422,F5IV
5.68,10.3,0.58,1.051,K1III
8.56,7.35,1.12,0.792,G5
7.93,10.47,1.53,0.478,F5
6.09,27.18,4.3,0.632,G2V
6.25,5.34,0.77,1.368,K4III
7.82,39.06,0.93,0.755,G9V
8.15,6.02,0.81,0.475,F5
8.97,11.56,1.31,0.674,G3V
7.47,14.53,1.21,0.55,F8V
8.13,22.09,0.71,0.71,G5V
8.41,8.49,0.77,0.461,F5V
6.47,7.63,0.76,0.946,G8II
7.73,19.78,0.87,0.537,G0V
8.94,8.38,1.24,0.415,F2
8.84,8.73,1.17,0.759,G5
6.32,6.95,0.81,1.099,G9III
5.8,4.5,0.56,-0.067,B8
7.53,23.9,0.85,0.577,G0V
8.14,14.25,0.83,0.593,G0V
6.71,6.66,0.75,0.068,A1V
8.69,11.12,1.22,0.644,G5
9.95,86.98,1.41,1.472,M2
7.1,6.27,0.87,1.128,K1III
6.88,10.35,0.81,0.174,A2
9.3,10.28,1.33,0.538,F3
8.49,62.48,0.82,1.076,K5V
7.08,5.31,0.63,-0.006,B9
6.93,4.29,0.83,0.94,G8III
4.61,25.38,1.05,1.029,K1III
8.56,229.33,1.08,1.462,M2V
7.42,9.55,0.76,0.191,A1V
7.71,5.05,0.64,1.093,K0III
6.91,6.75,1.03,1.12,G5
9.16,9.89,1.18,0.782,G8IV
7.59,4.65,0.92,1.045,K0
8.82,18.57,0.95,0.666,G5V
9.13,22.2,1.14,0.735,G5
7.86,11.04,0.91,0.494,F8
7.13,19.81,0.94,0.446,F5
7.36,4.25,0.72,0.993,K0III
6.99,4.25,0.78,1.187,K0III
8.2,85.1,2.74,1.41,K2
8.36,7.0,1.01,0.247,A0
8.22,21.03,1.06,0.636,G0
5.55,8.75,0.8,0.901,G5III
10.15,7.28,1.45,0.677,G5
9.44,11.21,1.34,0.617,G0
7.51,24.85,0.92,0.595,G0V
7.45,26.24,0.82,0.596,F8
8.99,12.99,0.94,0.585,F8V
8.58,25.77,2.07,0.92,K0
6.9,5.31,0.73,1.564,K5
7.55,7.05,1.15,0.3,A3
7.51,5.66,0.82,1.112,K1III
9.67,13.05,1.67,0.633,G3V
7.8,11.07,1.0,0.501,F5
8.21,5.34,1.01,1.108,G5
8.89,5.95,1.14,0.476,F5IV
5.98,49.3,1.05,0.687,G5V
5.7,39.0,0.64,0.519,G1IV
12.17,56.92,2.73,1.55,M4
8.75,7.24,1.32,0.487,F6
6.93,8.6,0.73,1.086,K0
7.97,4.78,0.82,0.256,F0
7.31,6.73,0.9,0.402,F2IV
8.35,8.11,0.91,0.624,G1V
5.57,3.32,0.54,-0.023,B9III
10.95,13.26,2.41,1.008,K1
8.87,6.15,1.06,0.426,F8
6.68,5.13,0.79,0.986,G9III
6.07,72.98,0.75,0.752,K0V
7.71,5.02,0.87,1.038,G8III
8.56,5.61,1.12,0.548,F7V
9.84,9.89,1.59,0.69,G0
8.21,9.08,1.09,0.574,F8
8.72,6.36,0.97,0.41,F4IV
6.19,25.59,0.75,0.386,F2IV
7.93,4.96,0.97,1.107,K0
8.98,6.64,1.23,0.567,F8
8.23,18.71,1.05,0.58,G0
9.61,15.97,1.47,0.761,G5
8.29,8.4,0.93,0.387,F0
7.44,7.12,0.92,0.203,A5
8.2,4.41,0.71,0.295,A3
8.41,5.14,1.01,0.405,F3V
8.42,4.84,0.88,0.345,A3
9.31,6.51,1.2,0.226,A9V
7.56,11.92,0.61,0.419,F5IV
7.88,4.23,0.74,0.407,F2
8.23,17.18,1.0,0.599,F8
9.14,17.98,2.35,0.74,G5
6.2,6.24,0.85,0.133,A2IV
8.95,8.23,1.18,0.653,G0
7.06,20.63,0.91,0.463,F5V
7.33,9.37,0.84,1.011,K1IV
8.24,7.19,1.22,0.271,A6
8.53,7.21,1.14,0.909,K0V
7.48,7.51,0.77,0.466,F5IV
8.57,5.48,0.94,0.249,A5
8.7,30.76,1.21,0.798,K0V
8.5,10.08,0.93,0.451,F5
8.37,8.86,1.46,0.595,F7V
6.87,6.05,0.77,1.124,G5
8.19,8.21,0.99,0.584,F8
8.37,9.73,1.0,0.379,F0
7.39,5.37,0.8,1.008,K0
6.73,10.14,0.73,0.951,G5
8.01,9.58,0.89,0.456,F5
6.83,7.84,0.65,1.158,K1
7.44,7.19,0.92,0.478,F5
6.43,6.69,0.92,-0.146,B8III
5.93,12.45,0.74,0.141,A1V
8.55,7.06,1.33,0.964,G5
7.66,5.76,0.78,0.181,A3
7.82,21.83,0.84,0.61,G0
9.08,11.55,1.4,0.595,G0
7.85,10.66,0.99,0.505,F5V
7.18,8.95,0.6,0.156,A3V
7.12,8.19,0.74,0.184,A5
5.67,10.02,0.71,1.119,K1III
8.15,9.77,0.98,0.617,F8
7.27,4.9,0.76,0.207,A3
7.04,36.18,1.02,0.624,G2
5.99,9.79,0.92,1.034,G8III
9.4,10.7,1.27,0.57,G0
2.07,33.6,0.73,-0.038,B9
7.59,25.15,0.97,0.626,G2V
10.73,45.64,1.92,1.46,M0
7.59,7.6,0.89,0.508,F3
7.41,12.72,0.86,0.606,F8
9.26,11.01,0.95,0.675,G3
7.78,14.43,0.96,0.358,F5
8.94,9.47,1.13,0.419,F5
7.76,8.84,0.94,0.415,F2
6.21,30.26,0.69,0.504,F8IV
7.05,5.97,1.04,0.963,G5
7.44,6.36,0.66,-0.006,A0
7.84,5.19,0.91,1.125,K0
7.88,5.03,0.85,0.473,F3V
8.65,6.86,1.05,0.471,F3V
8.41,16.24,0.7,0.588,G2V
7.81,8.58,0.86,0.481,F5IV
7.43,11.61,1.01,0.296,F0
7.58,4.72,0.82,0.994,G5
6.24,7.78,0.81,0.976,K0III
8.48,12.89,1.03,0.537,G0
8.57,31.34,2.1,0.885,G5
7.21,7.86,1.07,1.087,K0III
7.72,18.22,0.95,0.62,G0V
8.03,7.7,0.96,0.364,A3
6.47,8.65,0.94,0.242,A4V
5.57,11.17,0.72,1.043,G9III
6.32,7.0,0.74,0.738,G4IV
7.78,6.49,0.82,0.417,F3IV
11.65,22.5,2.96,1.26,M1
8.58,10.46,1.13,0.714,G5
9.23,6.32,1.08,0.383,F5
9.2,8.35,1.16,0.811,G8V
6.93,16.09,0.75,0.8,G5
7.11,8.73,0.77,0.476,F5
9.26,6.75,1.19,0.671,G3V
2.28,59.89,0.56,0.38,F2III
9.25,5.87,1.08,0.537,G0
9.33,17.75,1.21,0.812,G0
7.78,22.07,2.31,0.68,G0
7.02,17.03,0.69,0.932,K0
9.6,7.75,1.28,0.446,F6V
7.07,19.28,0.79,0.644,G2III
6.01,8.56,1.17,0.203,A7IV
5.42,14.57,1.34,0.414,F3V
9.11,11.89,1.31,0.83,G8
8.97,6.32,1.2,0.442,F0
3.88,23.28,0.98,1.013,K0III
8.59,7.58,1.2,0.484,F5
7.17,4.96,0.74,0.031,B9
7.94,13.8,1.3,0.66,G3V
8.52,16.26,0.98,0.687,G3V
7.59,5.36,0.88,1.005,G8IV
8.08,4.57,0.82,1.068,K1III
7.4,4.31,0.7,1.571,M2III
9.53,23.86,1.59,0.965,K1
8.57,13.92,1.11,0.644,G3V
8.48,5.62,1.04,0.56,G0
8.43,12.54,1.23,0.906,G5
8.84,17.08,1.86,0.833,K1V
6.34,7.37,0.57,0.164,A6V
8.32,18.8,1.05,0.595,G2
8.78,8.36,0.83,1.011,K1IV
7.19,4.44,0.79,0.974,K1II
9.04,7.14,1.07,0.542,G5
7.93,4.37,0.77,0.964,K0III
7.66,6.14,0.89,0.139,A2V
5.54,10.04,0.86,-0.064,B9V
5.29,13.45,0.5,1.049,K1
8.13,9.63,0.81,0.456,F3V
7.1,10.24,1.21,0.345,F0
7.88,11.15,0.68,0.476,F5V
8.38,7.73,0.7,0.371,F5
10.65,10.83,2.1,1.077,K8
6.97,3.21,0.6,1.377,K3III
8.11,4.74,0.83,1.032,K0
9.37,5.26,0.97,0.411,F2
5.84,18.18,0.92,0.973,K1III
9.5,7.14,1.38,0.423,F3
8.92,13.53,1.28,0.578,G2V
8.38,10.15,1.04,0.508,F7V
7.74,10.35,0.82,0.473,A
8.35,6.17,1.02,0.528,F7V
8.98,7.48,1.29,0.471,G0
8.24,12.91,1.06,0.491,F6V
6.74,6.52,0.73,-0.074,B7IV
6.83,4.74,0.76,1.429,K4III
7.7,7.1,0.92,0.144,A0
8.73,5.51,0.84,0.563,F7IV
6.66,15.06,0.7,0.372,F3
8.29,5.16,0.87,0.077,A0
8.47,15.57,1.17,0.574,G5
8.97,8.77,1.49,0.497,F5
7.51,18.2,0.91,0.503,F8
5.84,15.35,0.74,1.0,K0III
8.68,7.95,1.08,0.588,G2V
8.05,4.86,0.81,0.878,G5
9.4,9.43,1.0,0.551,F5IV
7.77,8.8,0.8,0.405,F2
6.89,4.7,0.82,0.951,K0III
8.41,16.45,0.95,0.575,G5
8.9,6.25,1.13,0.5,F5
8.55,12.6,1.18,0.435,F5V
9.15,9.37,1.25,0.477,F8
10.86,39.19,2.29,1.418,M2
11.55,24.32,3.25,1.395,M2V
6.68,4.43,0.73,1.212,K1III
8.85,4.41,0.77,0.585,F8
8.9,8.36,1.21,0.473,F8
8.24,7.22,0.89,0.184,A2
4.89,52.94,0.77,0.487,F5V
8.6,15.08,1.1,0.7,G6V
9.5,35.69,5.14,1.254,K7
7.15,6.06,0.67,1.004,K0
7.95,29.35,0.95,0.755,K0V
8.23,18.6,0.91,0.581,G0
8.48,11.58,1.13,0.473,F3V
8.97,20.86,2.16,0.807,G6
7.75,4.71,0.89,1.152,K2III
8.34,17.0,0.82,0.619,G4V
5.41,5.61,0.92,1.346,K2III
7.56,9.91,1.48,0.551,F8
6.93,7.77,0.88,0.994,K0III
8.69,6.73,1.13,0.185,A0
9.04,27.46,1.09,0.891,K1V
7.85,7.57,1.06,0.561,F7V
7.21,4.78,0.59,0.916,G8III
8.85,8.01,0.94,0.518,F6V
8.61,20.55,1.21,0.643,G0
7.91,7.11,1.08,1.126,K0
9.92,29.15,1.54,1.071,K5V
5.24,45.85,0.66,0.459,F3
8.45,10.91,1.15,0.481,F5V
8.73,9.29,1.09,0.646,G3
7.45,7.81,0.96,0.891,G5
9.02,16.48,1.49,0.599,G3V
7.51,12.79,1.43,0.491,F5
9.72,9.92,1.46,0.557,G1V
9.34,10.46,1.33,0.695,G5V
7.91,10.93,1.05,0.392,F2V
6.53,7.97,0.79,1.041,K0III
6.18,5.93,0.7,1.467,K4III
6.58,6.88,0.76,0.99,K0III
7.19,10.9,0.86,0.398,F0
6.56,6.05,0.87,1.074,K0III
8.73,38.88,1.22,1.045,K0
7.62,17.21,0.76,0.758,G5IV
8.66,10.57,1.33,0.43,F5
7.36,6.68,0.87,1.082,K0
6.87,9.42,0.74,0.262,F0
5.29,5.33,0.87,1.478,K4III
8.25,9.81,1.21,0.448,F5V
7.43,10.44,0.83,0.335,F0
10.05,9.1,1.47,0.643,G3
9.0,5.47,0.93,0.415,F3V
8.18,19.39,1.0,0.669,G5
8.44,24.69,1.2,0.739,K0
8.73,15.32,1.34,0.707,K0V
8.66,21.09,1.23,0.743,G8
6.5,6.3,0.82,1.112,K0
7.01,5.28,0.8,1.106,K0
8.15,5.91,0.96,0.029,A1V
7.95,15.34,0.99,0.945,K1IV
9.56,7.06,1.25,0.659,F8V
9.27,8.04,1.34,0.79,G5
9.85,15.9,1.78,0.939,K0
6.63,18.06,0.76,0.402,F2
7.22,49.18,0.78,0.775,K0V
8.19,7.41,1.07,0.407,F0
7.17,8.09,0.76,0.202,A2
10.74,27.5,1.94,1.308,K5
6.66,6.07,0.95,0.961,G8
7.69,5.76,0.84,0.958,G5
7.62,4.7,0.84,1.217,K0
8.75,11.11,1.11,0.401,F5
7.58,6.4,1.12,1.097,K0
9.02,9.18,0.94,0.489,F5
10.41,24.96,2.95,1.36,M0
6.52,7.17,0.78,1.05,K1III
7.57,14.72,0.86,0.453,F5IV
6.63,8.55,0.63,0.226,A
7.55,5.66,0.98,1.24,K1
2.83,9.79,0.81,-0.19,B2IV
12.49,37.3,6.34,1.4,M6
7.44,5.17,0.92,1.279,K1
7.98,11.12,1.08,0.396,F2V
7.45,10.64,0.9,0.48,F5IV
7.72,10.64,0.91,0.333,F0
5.78,4.0,0.49,1.71,M0
6.24,8.08,1.15,0.68,G0III
9.86,28.3,1.48,1.19,K7
9.05,30.0,1.25,0.913,K1V
5.71,28.57,0.74,0.331,F0IV
8.2,4.67,0.89,0.083,A0
7.98,7.03,0.89,0.214,A2
11.14,51.12,3.31,1.556,M0
7.26,4.88,0.76,1.257,K0
8.08,7.52,1.27,1.055,G5
6.14,4.23,0.8,1.49,K4III
6.97,9.78,0.91,0.18,A5IV
6.86,6.48,0.94,1.096,K1III
7.41,13.08,0.96,0.44,F2
8.07,9.34,0.82,0.559,G0
8.96,8.59,1.2,0.465,F0
8.76,22.86,0.87,0.743,G6V
7.15,14.45,0.76,0.513,F6V
8.93,10.74,1.17,0.628,G1V
9.42,24.14,1.58,0.962,K0
9.22,6.69,1.23,0.523,G0
6.22,11.13,0.73,0.009,A1V
7.17,3.49,0.6,1.626,M4III
8.4,5.52,1.05,0.398,F4V
8.36,23.68,1.19,0.645,G5
7.0,9.36,0.88,0.534,F7IV
7.32,21.66,1.17,0.521,F5
8.08,13.44,0.89,0.461,F5V
7.7,4.17,0.83,1.468,K2
6.66,21.62,0.68,0.462,F5IV
8.2,4.1,0.77,0.214,A7IV
7.42,20.23,1.2,0.64,G5V
6.89,18.19,0.9,0.502,F7V
8.51,22.51,1.49,0.73,G8III
9.42,11.19,1.5,0.831,K0
8.17,7.15,1.41,0.563,F8V
8.93,7.55,1.12,0.618,G1
8.23,10.93,0.98,0.475,F2
5.13,5.21,0.79,1.601,M3III
6.95,12.17,0.82,0.494,F5V
6.68,4.48,0.83,1.172,K0
9.49,8.31,1.44,0.476,F6V
4.79,10.01,0.77,1.572,M2III
7.03,11.81,0.82,0.461,F5
4.44,6.62,0.82,1.64,M1III
9.18,13.85,1.37,0.657,G3V
9.1,12.12,1.4,0.681,G0
6.63,7.76,0.78,1.03,G8III
7.13,3.93,0.77,1.17,K2III
8.49,8.41,0.87,0.528,F6V
6.82,11.33,0.89,0.257,A7III
10.04,13.96,1.97,0.84,F5
8.62,7.09,1.01,0.556,F8
5.77,9.4,0.78,-0.084,B9V
6.64,4.57,0.91,1.499,M0
6.25,9.18,0.71,-0.004,A1
6.17,4.41,0.87,1.344,K3III
6.02,12.47,1.28,0.312,F0IV
8.41,6.97,1.11,0.492,F8
8.99,8.05,1.45,0.428,F3V
9.09,9.36,1.24,0.53,G0V
8.57,22.9,0.93,0.695,G6V
7.34,6.25,0.88,1.02,K0
7.99,10.99,0.83,0.389,F2
8.98,5.97,1.17,0.505,F8
6.35,7.92,0.82,-0.002,A1V
8.66,6.57,1.23,0.942,G5
10.36,12.24,2.14,0.89,K3
7.75,9.22,1.18,1.015,K0
7.67,7.89,1.03,0.417,F3IV
6.76,4.05,0.76,-0.046,B9
7.33,10.91,0.81,0.441,F5
8.53,5.97,1.01,0.245,A8V
10.66,14.39,2.84,1.088,K3
11.49,191.86,17.24,1.75,M
7.65,5.43,0.88,1.184,K1
8.24,7.49,0.84,0.364,F0
8.54,11.65,0.8,0.551,F7V
7.9,4.17,0.77,0.045,B9
9.05,10.45,1.3,0.557,G0
6.43,5.76,0.67,0.838,G8III
6.49,4.63,0.54,0.983,G8
7.13,7.32,0.94,0.046,A0
8.57,13.96,1.25,0.568,F8
9.76,19.25,1.67,0.74,G8V
11.58,41.32,3.89,1.647,M5
7.59,7.44,0.97,0.323,A5
5.66,7.64,0.83,1.35,K2III
9.35,13.79,1.38,0.655,G5V
9.02,5.96,1.11,0.42,F5
6.59,56.76,0.53,0.749,G6V
8.79,23.91,1.17,0.965,K2
6.35,5.28,0.96,-0.044,B9V
8.92,14.92,0.97,0.718,G
9.74,8.67,1.46,0.569,G0V
9.74,7.65,0.94,0.446,F8
6.12,10.75,0.98,0.068,A2V
8.78,12.54,1.22,0.623,G3V
7.9,13.71,1.21,0.673,G3V
9.07,9.45,1.22,0.586,G1
11.06,21.82,2.32,1.258,K5
7.18,5.08,0.61,0.251,F0V
7.74,5.56,0.73,1.167,K2III
7.81,4.61,0.9,0.933,G8III
7.15,7.65,0.85,0.222,A8V
6.12,7.38,0.92,0.919,G8II
8.32,9.88,1.16,0.387,A5
8.52,11.21,1.18,0.24,F8
12.38,44.82,3.44,1.53,M4
7.43,8.28,1.13,0.266,A3
6.67,5.89,0.85,1.077,K0III
6.5,5.33,0.85,-0.108,B6III
6.99,7.18,0.87,0.05,A0
10.01,23.92,1.54,0.95,K3
8.58,10.38,0.96,0.59,F8
7.74,11.15,1.3,0.472,G0
7.46,10.0,0.89,0.167,A3
8.03,7.47,1.0,0.435,F5V
6.78,9.06,0.56,0.451,F3III
10.04,7.98,1.59,0.493,F8
8.88,7.36,1.32,0.453,F3V
7.18,5.07,0.8,1.071,G5
8.67,30.0,0.82,0.855,K0
6.84,43.45,1.19,0.655,G2V
8.94,15.06,1.47,0.625,G0
9.23,13.42,1.36,0.557,G1V
6.95,7.17,0.84,1.06,K0III
5.74,5.08,0.58,0.898,G8III
7.65,5.29,0.8,1.122,K1III
7.8,5.55,0.66,0.204,A2
8.38,7.32,1.25,0.787,G5
4.61,12.88,1.31,0.059,A2V
8.99,66.71,1.12,1.37,M0
8.44,6.52,1.11,0.44,F3V
5.86,3.42,0.65,-0.079,B7III
8.5,7.35,0.88,0.469,F5V
7.9,7.02,0.85,0.097,A2
7.96,27.32,0.84,0.651,G5IV
8.96,9.83,1.29,0.637,G5
11.54,42.65,2.77,1.505,M
10.51,23.3,3.17,1.31,K
