Vmag,Plx,e_Plx,B-V,SpType
7.96,18.91,1.98,0.529,F5
8.84,10.68,1.49,0.535,F6V
9.5,15.34,1.37,0.7,G6
9.58,9.4,1.52,0.604,G0
5.62,7.32,0.8,-0.107,B7V
4.08,37.85,0.69,0.163,A4V
7.19,8.78,0.86,0.294,A5
8.81,10.05,1.13,0.519,F7V
6.62,47.25,0.89,0.696,G8V
9.87,9.75,1.51,0.617,G0
7.92,13.81,1.16,0.506,F5
8.05,4.47,0.68,0.14,A3V
8.45,20.56,1.37,0.86,K0V
8.13,9.89,0.83,0.441,F3
9.18,7.14,1.02,0.488,F8
9.88,17.55,1.85,0.868,K2
8.4,4.19,0.74,1.236,K3III
5.32,12.65,0.89,0.941,K0II
8.5,8.87,0.79,0.51,F5V
9.26,6.64,1.27,0.611,G0
9.23,15.02,1.67,0.584,G3V
8.14,13.08,0.73,0.695,G3IV
6.72,21.65,0.82,0.596,F8
9.21,24.6,1.72,1.042,G5
7.76,5.53,0.93,0.213,A7V
5.81,3.97,0.56,1.304,K2
7.11,4.22,0.59,1.409,K5III
8.23,5.81,0.7,0.42,F2
8.94,9.46,0.81,0.429,F5V
9.09,11.84,1.36,0.67,G3V
7.51,18.81,1.77,0.519,F5
9.18,7.49,1.37,0.474,F3
7.54,3.68,0.7,1.107,G5
10.78,23.43,2.18,1.14,M0
9.35,8.29,0.9,0.752,G3V
8.59,7.15,0.76,0.347,F0IV
8.28,4.32,0.84,0.371,F2V
6.72,13.18,0.91,0.342,F0
7.09,29.62,1.09,0.624,G0
9.03,9.34,1.81,0.562,F5
6.38,20.01,0.88,0.306,F0V
7.52,4.99,0.95,0.998,G8III
7.1,20.38,1.49,0.495,F8
7.86,6.67,1.21,1.05,K0IV
7.69,23.21,0.86,0.63,F8
5.12,23.67,0.48,0.349,F0IV
8.08,28.33,1.2,0.677,G5
8.81,4.47,0.7,0.297,A9III
7.48,17.52,1.16,0.851,K0V
9.27,12.11,1.67,0.677,G6V
9.52,9.66,1.62,0.611,G3V
7.23,10.89,0.88,0.508,F5V
7.76,3.78,0.63,1.278,K3III
8.21,14.39,0.75,0.523,F7V
6.92,31.75,0.94,0.552,F8
8.24,6.06,1.13,0.317,A5
9.4,8.62,1.09,0.473,F5V
6.48,8.97,0.71,0.301,F0
8.08,6.98,1.19,0.348,A5
8.88,7.9,1.29,0.46,F8
9.06,4.82,0.88,0.833,G6IV
7.93,3.47,0.66,0.391,F0
7.29,4.84,0.66,0.958,K0III
7.85,6.36,0.67,0.379,F0
6.64,43.74,0.84,0.634,G4V
8.86,6.81,1.03,0.565,F6
5.26,23.22,0.77,0.193,A8V
8.33,5.3,0.75,0.352,F2
7.16,3.95,0.62,-0.007,B9
8.79,8.89,1.08,0.552,G0
7.99,28.04,1.04,0.703,G5
6.91,5.75,0.91,1.059,K0
9.19,5.37,0.85,0.24,A4
7.56,18.62,0.72,0.566,G1V
7.94,13.98,0.71,0.715,G5IV
8.92,6.45,1.23,0.264,A0
8.28,11.96,1.2,0.475,F5V
8.59,18.2,0.93,0.857,K0
6.05,9.65,0.97,1.045,K0III
7.33,3.58,0.63,1.408,K4III
7.53,4.61,0.86,1.026,K1III
7.76,4.02,0.73,1.238,K3III
2.91,12.72,0.71,0.716,G8III
7.36,5.48,0.98,0.943,G8III
8.59,9.61,1.17,0.456,F5V
8.63,6.6,1.29,0.411,F5
7.85,7.46,0.57,0.511,F7V
8.94,8.05,0.86,0.509,F5V
9.16,7.68,1.15,0.771,G8V
7.89,18.85,0.63,0.649,G2V
8.43,4.33,0.67,0.5,F5IV
8.63,10.03,1.11,0.61,G0
9.33,9.64,1.46,0.58,G0
6.81,4.96,0.6,1.28,K2III
9.92,7.61,1.52,0.568,G0
3.32,10.03,0.83,1.528,M3III
6.3,7.67,0.88,1.02,K0
8.04,15.17,0.95,0.557,F8
7.45,7.4,0.94,1.159,K1III
8.32,13.13,1.49,0.556,F5
7.6,12.04,0.87,0.475,F5V
7.27,7.61,1.04,0.065,A0
7.98,10.28,1.14,0.461,F5
6.06,7.99,0.84,1.011,K0III
8.79,6.46,0.94,0.347,F2
7.4,5.62,0.64,0.99,K0III
8.31,6.96,0.71,0.465,F3V
7.51,4.06,0.69,0.078,A0
8.06,13.9,1.08,0.546,G0
7.72,3.69,0.65,1.234,K2III
8.42,7.37,1.11,0.287,A2
5.45,8.11,1.19,-0.031,B7V
7.73,7.78,1.11,0.3,A2
4.77,15.95,0.76,1.018,K0II
8.87,12.33,1.08,0.7,G5
7.59,6.55,0.84,0.081,A0
6.99,5.35,0.88,0.181,A2
6.1,13.24,0.81,1.049,G9III
7.18,6.17,0.78,1.177,K0
8.55,7.35,0.95,0.472,F3V
9.71,18.42,1.42,0.873,G8
8.5,6.39,1.19,0.49,F6V
9.44,6.92,0.94,0.521,F5
7.54,6.87,0.7,0.216,A6V
9.48,13.03,1.41,0.76,G5
7.68,9.28,1.77,0.467,F5V
9.17,6.24,0.9,0.402,F5V
8.25,14.44,0.77,0.511,F8
5.49,4.69,0.72,1.569,F7IV
8.83,6.86,1.22,1.011,K0III
9.77,14.64,1.79,0.795,K0
10.47,11.86,1.62,0.783,K0
8.95,6.26,1.16,0.27,A0V
8.21,10.28,1.0,0.425,F2
5.64,10.21,0.82,1.087,K3III
8.17,8.35,1.11,0.461,F0
9.07,67.69,1.78,1.358,M0V
8.22,7.1,1.4,0.591,G0
6.69,5.44,0.94,1.021,G5
5.23,6.1,0.79,1.575,M3III
8.45,5.95,1.15,0.409,F2V
8.89,6.66,0.77,0.374,F3V
8.09,14.09,2.05,0.488,F5V
6.99,6.89,0.57,1.199,K2III
8.15,5.91,1.11,0.412,G0
8.7,5.76,0.95,0.099,A0
9.24,17.57,1.52,0.76,G0
7.92,11.13,0.92,0.635,G0
8.21,7.82,1.06,0.417,F0
9.66,36.71,2.75,1.19,K6
7.07,13.21,0.97,0.299,A5
8.6,10.59,1.35,0.604,G1
9.64,8.23,1.59,0.833,G5
6.97,31.76,0.91,0.645,G3V
5.89,5.85,0.64,-0.02,B9V
8.11,4.44,0.74,1.037,K0
7.76,3.98,0.77,1.132,G5
8.49,8.29,0.81,0.479,F5V
8.24,9.8,0.64,0.469,F5V
9.07,18.18,0.87,1.275,G6V
5.67,13.13,0.78,0.298,F2II
7.84,9.79,0.97,0.356,F3V
8.24,17.86,0.8,0.534,F8V
8.24,5.91,0.87,0.302,A5
8.39,23.21,0.76,0.771,G8V
7.36,23.44,0.86,0.672,G0
7.04,4.75,0.59,0.933,G5IV
9.01,6.97,1.3,0.36,A2
7.86,4.23,0.67,0.405,F3IV
6.38,13.26,0.7,0.122,A3V
6.12,10.86,0.49,1.011,K1III
8.28,16.22,1.29,0.574,F8
7.09,3.94,0.59,0.732,G8
6.18,17.35,0.78,0.166,A3V
7.45,4.78,0.93,1.128,K0
7.97,10.13,1.07,0.32,A5
8.08,6.61,1.11,0.225,A0
7.27,7.47,0.76,0.259,A7IV
8.69,7.72,1.34,0.365,A5II
8.43,10.9,0.85,0.603,F8
8.11,8.26,1.17,0.722,G3V
9.56,9.12,0.88,0.508,F6V
6.33,4.7,0.79,-0.019,B5V
8.32,6.97,1.3,0.4,A
7.67,6.16,1.18,0.401,F0
10.23,32.1,1.78,1.326,K4
2.09,35.14,0.9,-0.003,B8V
7.97,10.03,0.98,0.549,F5
9.65,8.33,1.54,0.57,F8
6.24,5.72,1.05,1.56,M0III
9.27,46.54,1.03,1.207,K5V
7.65,5.92,1.0,0.972,G4III
7.3,8.11,1.11,0.437,F4V
6.64,31.6,0.83,0.637,G0
10.12,28.42,4.16,1.34,M0
8.04,25.85,1.14,0.486,A4
8.25,19.22,0.78,0.657,G2V
7.01,11.13,0.88,0.279,F0
9.11,8.53,1.48,0.411,F8
6.28,6.97,1.09,1.026,G9III
8.7,6.36,1.06,0.506,F7V
8.17,13.68,0.8,0.601,F8
8.21,12.9,1.19,0.701,G5V
9.07,15.53,0.84,0.633,G5V
8.15,5.19,0.7,0.216,A1IV
7.11,10.83,0.76,0.684,G3V
7.85,24.44,1.04,0.642,G8V
10.2,15.89,1.19,0.785,K0
6.8,15.23,0.53,0.343,A9III
7.46,7.76,0.93,0.32,F0
7.8,11.87,1.15,0.418,F2
8.04,5.81,0.82,0.953,K0III
7.29,33.14,0.87,0.678,G3
7.23,7.46,1.29,0.92,G5
4.05,94.93,0.67,0.595,G0V
9.82,46.91,1.35,1.321,M0
9.22,9.31,1.31,0.54,F7V
8.12,4.72,0.94,1.242,G5
7.62,13.02,0.92,0.441,G0
7.66,6.95,0.89,0.111,A2V
8.63,8.55,0.94,0.481,F3V
8.97,14.5,1.25,0.679,G3V
6.41,6.44,1.08,1.241,K2
8.28,4.72,0.87,0.09,A0
10.09,13.03,1.86,0.626,G5
8.06,9.12,0.71,0.473,F5
8.08,6.72,0.95,0.11,A0
8.69,5.71,0.87,0.851,G6
9.08,6.35,1.25,0.44,F3V
8.81,6.77,1.33,0.394,A5
6.95,6.08,0.87,1.084,K0
3.79,29.05,0.66,0.98,K0III
10.11,64.83,4.26,1.473,M2
8.05,8.53,0.96,0.491,F5
7.99,13.83,1.14,0.58,G0
8.48,24.9,1.28,0.81,G0
8.87,6.23,0.85,1.019,K1V
8.33,4.64,0.91,0.291,A5
8.94,7.85,1.25,0.68,F8V
7.65,8.68,1.03,0.377,F0
7.61,4.16,0.63,0.38,F2
8.7,6.77,1.07,0.254,A0
8.16,9.95,1.09,0.761,G5
7.46,8.05,0.93,0.481,F0
9.06,21.3,1.37,0.825,K0IV
9.2,4.62,0.85,0.462,F5V
6.65,4.32,0.57,0.143,A3III
7.57,12.89,0.63,0.585,F8
7.69,8.54,0.7,0.294,A0
8.3,5.97,0.66,0.153,A3V
8.32,12.14,0.75,0.581,G0V
6.42,5.42,0.96,0.014,A0V
8.69,17.55,1.32,0.682,G5
8.14,4.82,0.94,1.239,K2III
8.65,8.83,0.91,0.481,F5V
9.38,36.96,1.59,1.15,K5
11.82,57.53,4.24,1.5,M4V
7.33,6.01,0.91,-0.01,B9
6.9,22.02,0.59,0.521,F6
8.82,7.63,1.28,0.704,G0
8.22,5.5,0.63,0.325,A9IV
9.2,8.75,1.37,0.398,F8
6.02,8.03,0.97,1.278,K3III
6.11,8.41,0.55,1.118,K1III
7.9,10.57,0.9,0.343,A5
9.1,13.97,0.86,0.558,G0V
9.62,8.39,1.67,0.596,F8
6.37,11.88,0.81,0.912,K0III
7.29,7.85,1.05,0.25,A3
8.18,16.91,0.92,0.543,F7V
10.25,15.27,1.1,0.84,K5
8.27,5.04,0.95,0.098,A1V
5.97,6.24,1.03,-0.061,B8V
6.63,5.48,0.54,0.879,G8III
7.22,6.65,1.03,1.065,K0
9.54,10.72,1.04,0.664,G3IV
7.0,8.08,0.71,0.166,A4III
8.06,14.6,1.3,0.551,G0
8.68,13.81,1.13,0.548,B2
8.67,10.24,0.78,1.025,K1III
7.43,12.55,1.39,0.498,F8
7.22,10.74,0.99,1.004,G5
9.28,5.16,1.03,0.646,F8V
9.32,7.73,1.34,0.49,F5V
7.26,5.25,0.91,1.06,K0
8.89,4.78,0.92,1.003,K0III
6.78,5.47,1.07,1.071,K0
9.15,13.93,0.88,0.734,G8IV
8.8,6.27,1.19,0.989,K2III
7.37,8.11,0.97,0.318,A5
6.5,12.75,0.66,0.163,A4V
8.68,8.54,0.8,0.517,G5
8.68,15.4,1.19,0.584,G0
8.61,5.31,0.81,0.338,F0IV
11.31,19.13,2.95,1.25,K7V
7.84,6.06,0.92,0.451,F3III
9.61,8.54,1.34,0.641,G3V
8.51,20.24,1.42,0.71,G5
8.52,18.91,1.45,0.777,G5
7.53,8.73,0.86,0.135,A2
6.25,6.05,0.86,1.167,K2III
7.99,6.01,0.65,0.34,A9III
4.61,10.69,0.8,1.115,K1III
6.08,4.16,0.77,1.67,M1III
6.11,9.47,0.95,1.038,K0III
7.49,4.84,0.64,1.035,K0III
7.69,12.16,0.98,0.441,F5V
7.31,7.07,0.89,0.156,A2II
7.93,4.77,0.95,0.904,K0
8.79,13.1,0.89,0.617,G0V
4.35,19.44,1.23,1.033,K2III
7.09,5.35,0.91,1.167,K0
5.92,16.13,0.53,0.149,A7III
6.9,5.3,0.84,0.006,B5
7.75,5.28,0.95,1.004,K0III
7.05,23.95,0.71,0.561,F7V
8.58,4.86,0.94,0.248,A5III
7.06,5.09,0.58,0.983,G5
7.71,5.21,0.6,0.341,F0III
4.85,20.15,0.54,0.035,A2V
7.46,4.6,0.87,1.61,K5
10.06,27.13,3.41,1.36,K5III
8.18,7.66,1.29,0.303,A2
6.98,13.78,0.72,1.043,K0III
6.96,9.57,0.79,0.301,F0
7.21,4.78,0.61,1.468,K5III
7.03,5.74,1.04,1.096,K0
9.94,6.69,1.24,0.58,F8
3.8,70.86,0.67,0.543,F8V
7.38,11.72,0.78,0.323,F0
9.21,8.68,0.95,0.441,F2
6.15,4.96,0.8,-0.099,B4V
7.29,23.6,2.03,0.606,G0
7.18,9.14,0.84,0.49,F5
5.78,8.78,0.88,-0.106,B9
7.19,3.59,0.68,0.218,A5IV
8.29,6.21,1.05,0.309,A5
8.83,4.1,0.8,0.547,F7IV
8.82,8.31,0.89,0.397,F2V
8.44,5.32,1.06,1.114,K2III
8.75,9.85,1.37,0.412,F5IV
8.82,12.61,1.38,0.559,G0
7.33,7.68,0.87,0.181,A2
8.15,5.7,1.05,0.126,A0
5.92,22.83,0.78,0.44,F3V
6.32,6.5,0.73,1.425,K5III
7.91,6.58,0.8,0.425,F3V
8.48,5.71,1.07,0.41,F3V
8.34,8.75,0.99,0.446,F2
7.56,24.19,1.03,0.604,G0
8.49,5.68,1.09,0.31,A0
8.4,8.81,1.02,0.548,F7V
9.76,11.34,1.66,0.701,G6V
8.42,9.58,1.13,0.526,G5
9.61,8.69,1.48,0.599,G2
8.68,9.54,1.21,0.46,F3
7.64,20.55,1.59,0.629,F8
8.48,10.86,1.04,0.38,F5
7.78,8.69,0.78,0.299,F0
8.98,7.22,1.19,0.33,F0V
5.07,44.69,0.75,0.575,F8V
8.02,6.77,1.05,0.157,A0
8.45,9.56,1.59,0.504,F8
7.27,26.64,0.66,0.584,G0V
9.15,10.1,1.41,0.506,F6
8.26,7.87,0.76,0.334,F0V
6.74,7.36,0.82,1.193,K2III
8.52,8.21,1.08,0.46,F5
6.29,6.8,0.58,-0.076,B9IV
8.28,15.51,0.85,0.592,G0V
8.65,19.2,1.98,0.617,G5
8.15,23.73,1.18,0.732,G5
8.97,9.39,0.74,0.515,F6V
7.96,5.94,0.88,0.125,B9
8.84,8.67,1.07,0.587,F7V
8.96,5.61,0.98,1.015,K0III
8.01,8.06,0.78,0.983,K1III
10.15,18.7,1.63,1.013,K2
8.09,4.62,0.7,1.16,K1III
7.84,4.56,0.75,1.082,K0III
9.85,15.89,1.83,0.94,K0
7.12,3.42,0.68,1.412,K4III
9.18,16.3,1.57,0.712,F5
7.03,4.01,0.8,0.097,A2
8.17,10.0,1.03,0.757,G5IV
5.93,10.47,0.68,0.972,G9III
7.88,10.7,0.91,0.622,G0V
7.3,12.83,0.72,0.578,F8
7.28,6.18,0.71,1.249,K0
9.32,15.14,1.3,0.662,G6V
8.36,7.29,0.8,0.507,F6V
9.67,9.33,1.68,0.591,F8
8.36,11.45,0.99,0.569,F8
11.9,24.82,4.1,1.44,K7V
7.65,9.77,0.9,0.314,A4
6.17,7.21,0.7,1.041,K1II
7.72,13.37,1.02,0.866,G5
8.5,7.85,1.26,0.558,F7
8.55,26.58,1.1,0.79,G5
7.63,4.35,0.77,1.06,G5
7.87,12.28,1.02,0.432,F5
6.88,14.16,0.65,0.172,A2
7.16,5.83,0.78,0.032,B9V
7.15,5.65,0.9,1.024,G5
8.63,11.3,0.83,0.541,F7V
8.98,15.88,1.27,0.668,G5
7.74,11.58,1.09,0.441,F2
9.56,7.49,1.49,0.78,G8IV
9.49,6.69,1.31,0.494,F5V
8.46,8.27,1.12,0.56,G0
7.89,3.84,0.69,1.087,K1III
7.36,16.27,2.33,0.531,F8
8.12,24.52,1.03,0.624,G5
7.17,7.46,1.01,0.072,A0
7.05,4.57,0.8,-0.046,B9
8.69,5.16,0.75,0.995,G8IV
9.19,6.21,1.17,0.277,A3
6.76,5.8,1.11,1.111,K0
11.16,18.08,2.7,1.16,M0V
9.08,7.3,1.3,0.44,F8
7.68,10.38,1.12,0.456,F5
9.16,9.79,1.4,0.5,F5
7.88,4.4,0.87,0.054,A0V
10.3,36.41,1.92,1.589,K5
6.88,5.86,0.96,0.74,G2V
9.17,54.48,1.39,1.235,K5V
8.79,13.55,1.08,0.541,F7V
7.83,44.96,1.09,0.861,K0
8.5,9.04,1.02,0.428,F3V
7.57,10.49,0.65,0.471,F3V
6.75,3.13,0.55,1.36,K3III
9.51,7.27,1.32,0.642,F8
4.87,9.59,1.06,-0.007,A1V
8.57,12.44,1.27,0.696,G5
8.15,6.35,0.75,0.418,F3IV
6.07,14.49,0.76,1.093,K2III
7.24,6.27,0.57,0.97,K0III
6.25,5.95,0.72,0.038,A1V
10.23,12.64,1.66,0.674,G5
8.21,8.78,0.87,0.358,A8
6.75,41.05,0.59,0.586,G3V
6.57,4.18,0.64,1.465,K0
8.83,12.13,1.18,0.67,G0
6.62,8.89,1.06,0.485,F5
9.69,8.89,1.06,0.581,F5
9.63,14.73,1.51,0.92,K2
7.02,5.25,0.81,0.016,A0
8.66,10.55,0.89,0.511,F5V
8.0,9.77,1.19,0.615,F8
5.61,7.52,0.83,0.012,A1V
8.58,10.52,1.19,0.536,F8
7.75,6.91,0.75,0.438,F2V
7.28,9.65,0.87,0.446,F3IV
9.86,9.03,1.76,0.549,G0
6.61,5.08,1.01,1.154,K0
7.92,6.37,1.08,0.268,A5
6.7,6.39,0.59,1.069,K0
7.91,7.62,1.17,0.359,F2
6.3,16.13,0.9,0.366,F4V
6.46,7.9,1.03,0.1,A0
4.8,27.18,0.97,0.232,A5
7.85,21.34,0.95,0.614,G2V
5.51,34.02,0.51,0.438,F4III
6.25,14.96,0.84,0.29,A1
7.57,17.89,0.94,0.493,F5
8.01,10.74,1.12,0.608,G5
9.18,16.87,1.46,0.719,G0
9.43,6.91,0.81,0.53,F8V
9.4,8.31,1.44,0.453,F2
8.17,17.9,1.14,0.568,F8
8.61,6.3,0.99,0.309,A5
6.64,5.18,0.68,-0.035,B9V
5.04,3.91,0.67,1.107,G5II
10.53,74.29,6.3,1.43,M2
6.7,6.91,0.63,0.049,A0
10.67,30.63,2.36,1.188,K5
7.09,6.14,1.11,0.101,A2
7.04,11.99,0.67,0.135,A3V
5.98,5.92,1.01,0.988,G8IV
6.14,28.83,0.98,0.407,F1V
7.54,4.2,0.73,0.097,A0
7.48,20.02,0.9,0.534,F5
9.14,4.81,0.81,0.467,F6V
8.76,15.18,1.15,0.67,G5
7.91,12.88,0.78,0.5,F5V
9.5,7.6,1.44,0.775,G8III
9.08,16.61,0.86,0.736,G6V
9.34,9.9,1.04,0.67,G5
7.2,4.37,0.81,0.036,B9
8.81,6.39,1.03,0.661,G5V
7.15,6.04,0.82,0.227,A1
9.4,24.38,1.75,0.9,K2
7.32,7.86,1.18,1.296,K0
8.5,6.39,0.95,0.587,F7V
7.6,5.38,0.6,1.101,K2III
8.25,13.03,1.23,0.427,F5
8.43,8.79,1.48,0.515,F8
7.99,7.23,0.85,0.31,A2
8.96,18.4,1.49,0.719,G5
6.96,11.88,1.01,0.263,A3
7.39,5.9,0.98,0.311,A5
7.77,5.53,0.98,0.214,A2
9.63,26.08,1.42,1.078,K3V
9.41,7.75,1.45,0.466,F6V
9.16,10.54,1.4,0.501,F8
9.21,7.54,1.41,0.465,F5
7.83,6.74,0.99,0.141,A0
6.76,6.76,0.98,0.257,F0
11.11,29.49,4.7,1.408,M0
8.61,11.5,0.95,0.61,G3V
7.38,20.2,1.18,0.567,F8
5.84,6.89,0.58,1.228,K2III
10.06,7.09,1.13,0.538,G0
6.41,5.47,0.94,0.079,A3V
7.78,21.64,1.33,0.617,G0
7.51,5.29,0.9,0.331,F0
7.9,3.98,0.78,0.145,A0
6.4,36.86,1.08,0.574,G0
8.11,8.78,0.91,0.561,F7V
7.51,7.65,0.83,0.133,A0
8.77,9.48,1.67,0.528,F8V
7.26,13.94,1.74,0.609,G0
8.05,8.45,0.64,0.495,F5V
5.53,82.51,0.54,0.641,G2V
11.84,47.29,3.44,1.46,K
5.97,5.37,0.76,0.056,A2IV
5.49,5.06,0.88,-0.06,B8V
8.56,4.87,0.78,0.065,A0V
7.64,8.5,1.33,0.267,A3
9.54,7.67,1.43,0.55,F8
7.58,9.95,0.9,0.584,F7V
8.79,7.37,1.24,0.856,G5
6.03,17.24,0.53,0.133,A3V
7.02,6.53,0.88,0.93,G5
5.93,16.14,0.73,0.337,F3V
8.8,14.7,1.33,0.702,G5
7.99,8.12,1.18,0.287,A3
10.29,57.75,2.19,1.449,M1
5.24,82.79,0.53,0.6,G1V
8.22,11.99,0.83,0.47,F2
8.27,8.49,0.98,0.243,A6V
11.91,24.54,3.95,1.341,M0V
9.22,22.55,1.3,0.766,G8
7.25,6.45,1.09,1.178,K0
7.52,19.19,1.07,0.642,G0
4.86,12.79,0.75,0.904,K0III
5.62,14.68,0.96,1.05,K1IV
8.04,5.05,0.92,0.191,A0
8.54,7.78,1.37,0.322,A9V
7.42,17.54,1.28,0.79,G5
6.95,8.19,0.91,0.109,A0
8.0,7.19,0.69,0.3,A9
12.25,22.66,4.44,1.485,M1V
5.16,6.18,0.66,-0.073,B3V
8.89,8.7,1.02,0.746,F8
8.4,10.19,1.27,0.5,F5V
5.72,27.33,0.85,0.381,F3V
8.7,15.52,1.42,0.71,G5
9.67,24.25,1.24,1.037,K5
8.51,11.82,1.61,0.8,G2V
7.95,5.71,1.03,0.122,A2V
7.65,6.84,0.9,1.306,K2
9.0,12.22,1.62,0.704,G5
8.86,6.76,1.12,0.313,F0V
8.19,10.38,0.91,0.409,F3V
7.45,4.89,0.63,1.056,K0IV
8.38,7.31,1.11,0.516,F5
9.0,12.57,1.19,0.568,G0
7.23,12.75,0.59,0.413,F3V
7.41,9.5,0.59,0.519,F7IV
7.05,40.52,0.98,0.655,G0
5.05,6.78,0.68,-0.067,B5V
7.31,9.39,0.58,0.175,A4IV
8.22,8.48,0.86,0.466,F3V
7.06,9.79,0.69,0.373,F2IV
7.27,11.11,0.92,0.362,F2
4.84,109.18,0.78,0.681,G5V
9.17,7.49,1.3,1.0,F5V
10.14,11.23,1.64,0.726,K0
7.7,12.29,0.8,0.486,F5V
8.21,4.8,0.75,1.106,G5
10.79,29.56,4.29,1.769,M0
8.76,6.21,1.16,0.527,F8V
8.93,10.97,1.44,0.634,G3V
3.7,12.63,0.89,1.614,M3
7.85,4.72,0.73,1.013,G8
8.0,14.43,2.31,0.645,F8
7.94,5.36,0.61,1.066,K0III
9.36,5.56,1.05,0.501,F5V
8.48,12.07,1.25,0.606,F8
9.3,19.36,1.24,0.825,K0V
9.67,21.57,1.6,0.834,K2
9.03,9.13,1.22,0.573,G0
7.06,4.34,0.76,0.068,A1
7.66,5.2,0.87,0.068,A0V
8.99,13.0,0.76,0.608,G3V
4.26,165.02,0.55,0.711,G8V
5.91,15.88,1.04,0.86,G8IV
7.35,5.19,0.65,0.07,B9
7.77,7.24,1.22,0.335,F0
4.74,4.07,0.62,-0.108,B2
6.73,5.03,0.94,0.949,K0
7.7,8.32,1.01,0.446,F5
8.48,27.86,1.23,0.82,K0V
7.36,27.76,0.88,0.63,G3V
7.89,6.54,0.68,0.905,G8III
8.09,4.82,0.68,1.09,K0III
7.07,6.11,0.82,0.046,B9V
6.6,5.05,0.62,-0.01,A0
9.07,9.94,1.02,0.474,F3V
8.44,29.64,0.86,0.785,K0V
8.3,7.5,0.63,0.418,F2V
8.89,12.62,0.93,0.509,F7V
5.44,12.36,0.59,0.211,A6V
9.93,6.32,1.17,0.471,F5V
4.47,5.09,0.9,1.555,K2II
7.15,5.71,1.14,1.168,K0
6.9,5.42,0.94,1.223,K0
7.29,5.3,0.85,0.01,B9
6.14,11.29,1.01,1.241,K3III
7.67,8.69,0.9,0.488,F5V
9.65,34.18,1.7,1.13,K7V
7.34,15.14,0.96,0.468,F5
8.55,6.44,0.98,0.57,F8V
7.25,11.54,0.57,0.316,A9IV
8.46,19.71,1.32,0.69,G0
8.73,6.75,1.16,0.511,F6V
8.43,6.9,1.22,0.56,F8IV
9.92,22.47,1.44,1.037,K3
8.73,7.08,1.4,0.711,G5V
8.06,5.27,0.96,0.158,A3III
6.92,19.28,0.8,0.407,F2V
6.4,20.59,0.73,0.542,F7V
10.0,18.17,1.11,0.83,G5
8.82,15.08,1.2,0.731,G0
7.81,7.34,0.76,0.443,F5
6.78,7.4,0.99,1.168,K2
8.55,14.96,1.87,0.581,G0
7.3,6.16,0.72,0.958,K0
9.86,21.18,1.48,1.002,A5
9.71,11.29,1.53,0.66,F8
8.43,8.75,0.98,0.53,F6
7.94,25.21,1.06,0.728,K0
8.14,5.87,1.11,0.102,B9
7.96,6.44,1.06,0.594,F5
7.03,12.38,0.58,0.294,A5
6.87,3.45,0.68,1.297,K0
8.94,4.62,0.79,1.072,K0III
5.7,11.23,0.76,0.964,G8
7.82,11.94,0.74,0.422,F5
7.91,4.05,0.73,1.169,K2III
8.07,9.97,1.0,0.427,F0
5.27,7.06,1.03,-0.067,B5IV
8.9,7.59,1.2,0.389,F0
8.42,5.91,1.05,0.511,F5V
8.3,14.51,0.67,0.792,G3IV
8.42,11.88,1.47,0.593,F8
11.21,72.8,1.63,1.59,M2
8.04,5.15,0.58,0.259,A8III
8.43,22.28,0.8,0.73,G6IV
5.5,7.75,0.7,0.885,G8III
7.86,18.45,0.61,0.533,F5
8.19,9.59,0.66,0.48,F5V
4.96,21.0,0.66,0.051,A3V
8.91,5.82,1.13,0.503,F5V
6.4,7.19,0.61,0.989,K0III
8.95,6.93,1.23,0.342,A5
9.67,13.94,1.84,0.798,K0
6.69,11.62,0.84,0.027,A0V
5.94,21.86,0.69,0.468,F6V
8.84,22.71,1.28,0.701,K0
9.05,44.03,1.24,0.99,K5
9.52,8.14,1.21,0.58,G0V
7.68,12.92,0.89,0.73,G5
8.34,9.1,0.98,0.4,F3V
7.26,9.29,0.84,1.152,K1III
8.47,4.48,0.76,1.187,K2III
8.36,6.41,1.07,0.121,A1V
9.19,7.46,1.11,0.9,G8IV
7.47,7.18,0.97,1.154,K0
9.44,9.98,1.8,0.823,G5
6.9,10.9,0.69,1.28,K3III
7.36,8.13,0.8,0.224,A2
6.36,7.25,0.72,0.01,A1V
8.55,16.09,1.78,0.702,G6V
9.3,5.96,0.77,0.609,F7
7.76,5.94,0.91,0.33,A4
8.83,23.55,1.71,0.882,K0
9.28,32.99,1.29,1.061,K4V
8.51,4.93,0.88,0.558,F6V
8.15,7.27,0.95,0.403,F0
9.68,14.68,1.56,0.746,G8V
5.1,10.23,1.05,1.231,K3III
7.91,8.98,0.7,0.513,F5V
7.59,8.82,0.75,0.309,F0
9.27,10.68,1.43,0.614,G5
7.23,6.07,1.14,0.18,A2
9.21,7.27,0.94,0.549,F6V
7.64,9.95,1.04,0.371,A5
7.96,8.09,1.06,0.598,G0
8.39,4.48,0.82,0.323,F0V
8.0,11.82,1.08,0.916,K0III
5.32,5.22,0.72,-0.076,B5V
10.24,50.16,5.62,1.386,K0
7.57,9.28,0.98,0.45,F5
8.58,50.64,1.73,1.068,K3V
6.7,6.12,0.73,1.007,K0III
6.2,27.09,0.83,0.702,G2V
7.96,6.79,0.95,0.622,F8V
8.62,7.38,1.28,0.423,F4V
7.98,3.78,0.64,1.109,K1III
7.61,19.62,0.88,0.601,G1V
8.1,5.37,1.05,0.16,A0
